E
I_0_0/0,false,false,false,false,true,true,111
I_0_0/1,false,false,false,false,false,true,100
I_0_0/2,false,false,false,false,false,true,100
I_0_0/3,false,false,false,false,false,false,0
I_0_0/4,false,false,false,false,false,true,100
I_0_0/5,false,false,false,false,false,false,0
I_0_0/6,false,false,false,false,false,true,100
I_0_0/7,false,false,false,false,false,true,100
I_0_0/8,false,false,false,false,false,true,100
I_0_0/9,false,false,false,false,true,true,111
I_0_0/10,false,false,false,false,true,true,111
I_0_0/11,false,false,false,false,false,true,100
I_0_0/12,false,false,false,false,false,false,0
I_0_0/13,false,false,false,false,true,true,111
I_0_0/14,false,false,false,false,true,true,111
I_0_0/15,false,false,false,false,false,false,0
I_0_0/16,false,false,false,false,true,true,111
I_0_0/17,false,false,false,false,false,true,100
I_0_0/18,false,false,false,false,false,false,0
I_0_0/19,false,false,false,false,false,false,0
I_0_0/20,false,false,false,false,false,false,0
I_0_0/21,false,false,false,false,false,false,0
I_0_0/22,false,false,false,false,false,false,0
I_0_0/23,false,false,false,false,false,true,100
I_0_0/24,false,false,false,false,false,true,100
I_0_0/25,false,false,false,false,true,true,111
I_0_0/26,false,false,false,false,false,true,100
I_0_0/27,false,false,false,false,false,false,0
I_0_0/28,false,false,false,false,false,true,100
I_0_0/29,false,false,false,false,true,true,111
I_0_0/30,false,false,false,false,false,true,100
I_0_0/31,false,false,false,false,false,true,100
I_0_0/32,false,false,false,false,false,true,100
I_0_0/33,false,false,false,false,false,false,0
I_0_0/34,false,false,false,false,false,true,100
I_0_0/35,false,false,false,false,false,false,0
I_0_0/36,false,false,false,false,false,false,0
I_0_0/37,false,false,false,false,false,true,100
I_0_0/38,false,false,false,false,true,true,111
I_0_0/39,false,false,false,false,false,false,0
I_0_0/40,false,false,false,false,false,false,0
I_0_0/41,false,false,false,false,false,true,100
I_0_0/42,false,false,false,false,false,false,0
I_0_0/43,false,false,false,false,false,true,100
I_0_0/44,false,false,false,false,false,false,0
I_0_0/45,false,false,false,false,false,false,0
I_0_0/46,false,false,false,false,false,false,0
I_0_0/47,false,false,false,false,false,false,0
